distribution,category,left_keV,right_keV,base_or_matched_mass,normalizing_class_mass,density_per_keV
matched,Bi214,250.0,300.0,0.0,1.0,0.0
matched,Bi214,300.0,350.0,0.0,1.0,0.0
matched,Bi214,350.0,400.0,0.0,1.0,0.0
matched,Bi214,400.0,450.0,0.0,1.0,0.0
matched,Bi214,450.0,500.0,0.0,1.0,0.0
matched,Bi214,500.0,550.0,0.0,1.0,0.0
matched,Bi214,550.0,600.0,0.0,1.0,0.0
matched,Bi214,600.0,650.0,0.0,1.0,0.0
matched,Bi214,650.0,700.0,0.0,1.0,0.0
matched,Bi214,700.0,750.0,0.0,1.0,0.0
matched,Bi214,750.0,800.0,0.0,1.0,0.0
matched,Bi214,800.0,850.0,0.0,1.0,0.0
matched,Bi214,850.0,900.0,0.0,1.0,0.0
matched,Bi214,900.0,950.0,0.0,1.0,0.0
matched,Bi214,950.0,1000.0,0.0,1.0,0.0
matched,Bi214,1000.0,1050.0,0.0,1.0,0.0
matched,Bi214,1050.0,1100.0,0.0,1.0,0.0
matched,Bi214,1100.0,1150.0,0.0,1.0,0.0
matched,Bi214,1150.0,1200.0,0.0,1.0,0.0
matched,Bi214,1200.0,1250.0,0.0038986849861276924,1.0,7.797369972255385e-05
matched,Bi214,1250.0,1300.0,0.0028727152529361252,1.0,5.745430505872251e-05
matched,Bi214,1300.0,1350.0,0.007633214814944531,1.0,0.00015266429629889062
matched,Bi214,1350.0,1400.0,0.00484257714066318,1.0,9.685154281326359e-05
matched,Bi214,1400.0,1450.0,0.007222826921668153,1.0,0.00014445653843336305
matched,Bi214,1450.0,1500.0,0.009849309438639226,1.0,0.00019698618877278453
matched,Bi214,1500.0,1550.0,0.01235267558762538,1.0,0.00024705351175250757
matched,Bi214,1550.0,1600.0,0.013173451374176873,1.0,0.0002634690274835375
matched,Bi214,1600.0,1650.0,0.014281498686022652,1.0,0.00028562997372045304
matched,Bi214,1650.0,1700.0,0.01575889510182482,1.0,0.0003151779020364964
matched,Bi214,1700.0,1750.0,0.019000959458706237,1.0,0.00038001918917412476
matched,Bi214,1750.0,1800.0,0.01957550250929288,1.0,0.0003915100501858576
matched,Bi214,1800.0,1850.0,0.02207886865828526,1.0,0.0004415773731657052
matched,Bi214,1850.0,1900.0,0.023884575388703783,1.0,0.00047769150777407564
matched,Bi214,1900.0,1950.0,0.02716767853490648,1.0,0.0005433535706981296
