distribution,fpr,tpr,threshold_keV
original,0.00016021728515625,0.0044097900390625,2997.0
original,0.00016021728515625,0.004419962565104167,2996.875
original,0.00016021728515625,0.004430135091145833,2996.75
original,0.00016021728515625,0.004435221354166667,2996.6875
original,0.00016021728515625,0.00445556640625,2996.5
original,0.00016021728515625,0.004460652669270833,2996.375
original,0.00016021728515625,0.004506429036458333,2996.25
original,0.00016021728515625,0.0045166015625,2996.125
original,0.00016021728515625,0.004552205403645833,2996.0
original,0.00016021728515625,0.004557291666666667,2995.875
original,0.00016021728515625,0.00457763671875,2995.75
original,0.00016021728515625,0.004582722981770833,2995.6875
original,0.000164031982421875,0.004597981770833333,2995.5
original,0.000164031982421875,0.004613240559895833,2995.25
original,0.000164031982421875,0.004633585611979167,2995.125
original,0.000164031982421875,0.004638671875,2995.0625
original,0.000164031982421875,0.004648844401041667,2995.0
original,0.000164031982421875,0.004674275716145833,2994.875
original,0.0001678466796875,0.0047149658203125,2994.75
original,0.000171661376953125,0.0047149658203125,2994.625
original,0.000171661376953125,0.004730224609375,2994.5
original,0.000171661376953125,0.004740397135416667,2994.375
original,0.000171661376953125,0.0047454833984375,2994.3125
original,0.000171661376953125,0.0047760009765625,2994.25
original,0.000171661376953125,0.0048065185546875,2994.0
original,0.000171661376953125,0.004811604817708333,2993.9375
original,0.000171661376953125,0.00482177734375,2993.875
original,0.000171661376953125,0.004847208658854167,2993.75
original,0.000171661376953125,0.004852294921875,2993.6875
original,0.000171661376953125,0.004862467447916667,2993.625
original,0.000171661376953125,0.0048828125,2993.5
original,0.000171661376953125,0.0048980712890625,2993.375
original,0.000171661376953125,0.004918416341145833,2993.25
original,0.000171661376953125,0.0049285888671875,2993.125
original,0.000171661376953125,0.004964192708333333,2993.0
original,0.000171661376953125,0.004969278971354167,2992.875
original,0.00017547607421875,0.004984537760416667,2992.75
original,0.00017547607421875,0.0049896240234375,2992.625
original,0.00017547607421875,0.0050506591796875,2992.5
original,0.00017547607421875,0.00506591796875,2992.375
original,0.00017547607421875,0.005096435546875,2992.25
original,0.00017547607421875,0.005106608072916667,2992.125
original,0.00017547607421875,0.005147298177083333,2992.0
original,0.00017547607421875,0.005157470703125,2991.875
original,0.00017547607421875,0.005213419596354167,2991.75
original,0.00017547607421875,0.005243937174479167,2991.625
original,0.00017547607421875,0.0052490234375,2991.5625
original,0.00017547607421875,0.005299886067708333,2991.5
original,0.00017547607421875,0.005304972330729167,2991.28125
original,0.00017547607421875,0.005345662434895833,2991.25
original,0.00017547607421875,0.005350748697916667,2991.125
original,0.00017547607421875,0.0053863525390625,2991.0
original,0.00017547607421875,0.005401611328125,2990.875
original,0.00017547607421875,0.0054473876953125,2990.75
original,0.00017547607421875,0.005452473958333333,2990.625
original,0.00017547607421875,0.005523681640625,2990.5
original,0.00017547607421875,0.005528767903645833,2990.3125
original,0.00017547607421875,0.005574544270833333,2990.25
original,0.00017547607421875,0.005579630533854167,2990.125
original,0.00017547607421875,0.005584716796875,2990.0625
original,0.00017547607421875,0.005615234375,2990.0
original,0.00017547607421875,0.005620320638020833,2989.875
original,0.00017547607421875,0.005671183268229167,2989.75
original,0.00017547607421875,0.00567626953125,2989.625
original,0.00017547607421875,0.0056915283203125,2989.5
original,0.00017547607421875,0.005701700846354167,2989.375
original,0.00017547607421875,0.005727132161458333,2989.25
original,0.00017547607421875,0.005732218424479167,2989.1875
original,0.00017547607421875,0.0057373046875,2989.125
original,0.00017547607421875,0.005772908528645833,2989.0
original,0.00017547607421875,0.005788167317708333,2988.875
original,0.00017547607421875,0.005849202473958333,2988.75
original,0.00017547607421875,0.005864461263020833,2988.625
original,0.00017547607421875,0.005869547526041667,2988.5625
original,0.00017547607421875,0.005894978841145833,2988.5
